SITE_ID,SAMPLE_ID,VISIT_NO,INDXSAMP_LDC,SAMPLE_TYPE,SAMPLE_CATEGORY,PRIMESEDT,LDC_ADJ
NLA06608-1586,505458,1,YES,SEDB,P,,-1.254517197
NLA06608-1593,513897,1,YES,SEDT,P,1,-4.644862767
NLA06608-1595,502307,1,YES,SEDT,P,1,-0.459478213
NLA06608-1595,502308,1,YES,SEDB,P,,-0.406024898
NLA06608-1596,509778,1,YES,SEDT,P,1,-28.37817983
NLA06608-1596,509777,1,YES,SEDB,P,,-21.29410895
NLA06608-1600,512867,1,YES,SEDT,P,1,-23.66449864
NLA06608-1608,516878,1,YES,SEDT,P,1,14.56054613
NLA06608-1617,513248,1,YES,SEDT,P,1,-12.04626757
NLA06608-1617,513247,1,YES,SEDB,P,,-18.03373295
NLA06608-1623,514627,1,YES,SEDT,P,1,2.225628602
NLA06608-1626,504327,1,YES,SEDT,P,1,-16.396748
NLA06608-1626,504328,1,YES,SEDB,P,,-18.16913242
NLA06608-1630,515247,1,YES,SEDT,P,1,10.59567231
NLA06608-1631,511637,1,YES,SEDT,P,1,-36.07023255
NLA06608-1633,515127,1,YES,SEDT,P,1,-3.458150275
NLA06608-1637,507017,1,YES,SEDT,P,1,-1.523142664
NLA06608-1637,507018,1,YES,SEDB,P,,4.872535093
NLA06608-1638,511217,1,YES,SEDT,P,1,-23.42363727
NLA06608-1638,511218,1,YES,SEDB,P,,-16.26674842
NLA06608-1640,505887,1,YES,SEDT,P,1,-17.01525578
NLA06608-1641,505777,1,YES,SEDT,P,1,-20.38663124
NLA06608-1643,503788,1,YES,SEDT,P,1,6.081849291
NLA06608-1643,503787,1,YES,SEDB,P,,0.653268283
NLA06608-1652,502907,1,YES,SEDT,P,1,-16.08129083
NLA06608-1654,504677,1,YES,SEDT,P,1,2.805004798
NLA06608-1655,503167,1,YES,SEDT,P,1,-35.88446003
NLA06608-1668,508487,1,YES,SEDT,P,1,-23.18871599
NLA06608-1672,507267,1,YES,SEDT,P,1,-9.340804768
NLA06608-1674,504127,1,YES,SEDT,P,1,-10.18230167
NLA06608-1674,504128,1,YES,SEDB,P,,-11.63639029
NLA06608-1675,508597,1,YES,SEDT,P,1,-4.755944771
NLA06608-1679,507917,1,YES,SEDT,P,1,-4.601085361
NLA06608-1679,507918,1,YES,SEDB,P,,-8.003505546
NLA06608-1684,504857,1,YES,SEDT,P,1,-16.24538563
NLA06608-1684,515557,2,NO,SEDT,P,,-10.90866361
NLA06608-1687,514377,1,YES,SEDT,P,1,-37.30616683
NLA06608-1687,514378,1,YES,SEDB,P,,-27.30190645
NLA06608-1690,510967,1,YES,SEDT,P,1,-23.76793967
NLA06608-1690,510968,1,YES,SEDB,P,,-23.13987306
NLA06608-1695,511037,1,YES,SEDT,P,1,6.021337217
NLA06608-1695,511038,1,YES,SEDB,P,,13.22089127
NLA06608-1703,510227,1,YES,SEDT,P,1,-33.04488976
NLA06608-1703,510228,1,YES,SEDB,P,,-20.8447907
NLA06608-1704,514757,1,YES,SEDT,P,1,-5.632775694
NLA06608-1706,516297,1,YES,SEDT,P,1,-19.04380249
NLA06608-1707,510477,1,YES,SEDT,P,1,-6.029954678
NLA06608-1707,510478,1,YES,SEDB,P,,-1.938923289
NLA06608-1711,509297,1,YES,SEDT,P,1,3.069203719
NLA06608-1715,503997,1,YES,SEDT,P,1,-5.322677006
